id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
1699588,Weekly Meetings,"Come join CSF every week for devotions, discussion, and...disco dancing! Well...maybe not so much disco. But there will be snacks! Guest speakers! Other fun things!",Chapel Meeting Room,2012-10-04T23:30:00+00:00,2012-10-05T00:30:00+00:00,Cooperative Student Fellowship,183488,,Unknown,Public
1698698,Weekly Meetings,"Come join CSF every week for devotions, discussion, and...disco dancing! Well...maybe not so much disco. But there will be snacks! Guest speakers! Other fun things!",Chapel Meeting Room,2012-09-13T23:30:00+00:00,2012-09-14T00:30:00+00:00,Cooperative Student Fellowship,183488,,Unknown,Public
1700271,Weekly Meetings,"Come join CSF every week for devotions, discussion, and...disco dancing! Well...maybe not so much disco. But there will be snacks! Guest speakers! Other fun things!",Chapel Meeting Room,2012-08-30T23:30:00+00:00,2012-08-31T00:30:00+00:00,Cooperative Student Fellowship,183488,,Unknown,Public
1697525,"Cooperative Student Fellowship, weekly meeting","CSF's weekly meetings are open to everyone, new and returning members. Please join us for a time of devotion, discussion, and fellowship.","Daniel Chapel, Meeting Room",2012-04-05T23:30:00+00:00,2012-04-06T00:30:00+00:00,Cooperative Student Fellowship,183488,,Unknown,Public
1698651,CSF Weekly Dinner,Come out and eat dinner with CSF every week before our meetings!,Paladen,2012-04-05T22:30:00+00:00,2012-04-05T23:20:00+00:00,Cooperative Student Fellowship,183488,,Unknown,Public
1697663,CSF Weekly Dinner,Come out and eat dinner with CSF every week before our meetings!,Paladen,2012-03-29T22:30:00+00:00,2012-03-29T23:20:00+00:00,Cooperative Student Fellowship,183488,,Unknown,Public
1698373,"Cooperative Student Fellowship, weekly meeting","CSF's weekly meetings are open to everyone, new and returning members. Please join us for a time of devotion, discussion, and fellowship.","Daniel Chapel, Meeting Room",2012-02-10T00:30:00+00:00,2012-02-10T01:30:00+00:00,Cooperative Student Fellowship,183488,,Unknown,Public
1698325,"Cooperative Student Fellowship, weekly meeting","CSF's weekly meetings are open to everyone, new and returning members. Please join us for a time of devotion, discussion, and fellowship.","Daniel Chapel, Meeting Room",2011-12-02T00:30:00+00:00,2011-12-02T01:30:00+00:00,Cooperative Student Fellowship,183488,,Unknown,Public
1698297,CSF Weekly Dinner,Come out and eat dinner with CSF every week before our meetings!,Paladen,2011-12-01T23:30:00+00:00,2011-12-02T00:20:00+00:00,Cooperative Student Fellowship,183488,,Unknown,Public
