coid,code,title,ger,prerequisites,description,credits
66160,ANT-302,Anthropology of Race and Ethnicity,GER: HB (Empirical Study of Human Behavior),,"Ethnic, racial, and religious minorities in America and around the world. Ethnicity and ethnocentrism, race and “scientific” racism; stigmatization and prejudice; assimilation and pluralism; primordialism and circumstantialism; nationalism and identity politics.",4 credits
67814,ANT-306,Human Osteology & Paleopathology,GER: NE (Humans and the Natural Environment),,"This course will provide students with a deeper dive into one specialization of Biological Anthropology, which is currently offered at the 200 level in the department. It may overlap somewhat in content with Biology courses, including Human Anatomy, although this course will focus on identification of human remains that are generally fragmentary or disarticulated, as would be expected in forensic or archaeological contexts. In addition, this course will discuss the human cultural aspects that may result in changes to bone, such as zoonotic diseases associated with animal domestication, or endemic human diseases associated with urbanization.",4 credits
67741,ANT-305,Practicing Anthropology,GER: HB (Empirical Study of Human Behavior),Two or more 200 or 300 level courses in Anthropology,Practicing Anthropology provides a focused introduction to ethnographic research methods and design. Students will use anthropological research methods to examine a real-world problem in our community. The course is intended to provide students with a range of research experiences and techniques that can be used in future long-term research endeavors.,4 credits
67330,ANT-264,Psychological Anthropology,GER: HB (Empirical Study of Human Behavior) and WC (World Cultures),,"Exploration of theories and methods to study how individual selves and the behavior of individuals are shaped by culture. Topics include cross-cultural comparison of child rearing, enculturation, selfhood, cognition, emotion, and mental illness and welfare.",4 credits
67647,ANT-304,Archaeology Method and Theory,GER: HB (Empirical Study of Human Behavior),ANT-101 or ANT-105,"This course provides students with a comprehensive overview of archaeological theory and the history of the discipline, while also including a lab section focused on basic field techniques including survey, excavation, and artifact curation.",4 credits
66163,ANT-401,Anthropological Theory,GER: WR (Writing-Research Intensive),ANT-101 or ANT-105 and two ANT courses numbered 200 - 299,"This course provides an historical and contemporary exploration of theory in cultural and archaeological anthropology. Students will be introduced to major trends and debates in anthropological theory and explore examples of theoretical application in ethnographic research. We will analyze each theoretical argument by exploring its historical and social context of its origin, understanding how it is used to explain human behavior, and examine its contributions to contemporary arguments in anthropology. The course will examine theoretical arguments on such topics as history, memory, power, social change, agency, culture and society, as well as conflict and resistance.",4 credits
66164,ANT-501,Independent Study,,instructor permission Variable credit.,,
67463,ANT-375,Practicing Anthropology,,,Exploration and application of ethnographic research strategies through research projects and exercises.,2 credits
66162,ANT-344,Anthropology of Religion,GER: WC (World Cultures),,"Examining religion as a cultural phenomenon and from a comparative and holistic perspective on the beliefs and practices used to make sense of this and other worlds, their places within them, and to solve pressing, life and death problems. Topics include myth and symbols; rituals and religious specialists; altered states of consciousness and healing; witchcraft, divination, and magic; ghosts, souls, and ancestors; revitalization and millennial movements; and globalization and transnational change.",4 credits
67690,ANT-327,Feminist Anthropology,GER: HB (Empirical Study of Human Behavior) and WR (Writing-Research Intensive),,"An exploration of the feminist knowledge(s) in anthropological research within historical and contemporary transnational women’s movements. The course will discuss how feminist anthropology challenges dominant theories and methodologies in the discipline. Topics include race, class, gender, intersectionality, positionality, and representation.",4 credits
67387,ART-105,Art and the Community,,,"Public art focusing on encouraging creative, research, design and practice outside the gallery setting. Exploration of public art in its many manifestations which can include site specific projects, contemporary memorials, political actions, community-based projects, environmental, temporary, ephemeral and permanent projects. May Experience ONLY.",2 credits
66166,ART-112,Introduction to Sculpture,GER: VP (Visual and Performing Arts),,"The fundamentals of sculpture are explored through class projects, lectures, and discussions. Students use a variety of materials, tools, and techniques to study the visual elements and design principles in three-dimensional art and design. Emphasis is placed on form, fabrication, and concept development through spatial and material transformation.",4 credits
67478,ARB-102,Beginning Arabic II,,ARB-101,"Continued development of listening, speaking, reading and writing skills in Arabic.",4 credits
66165,ART-111,Introduction to Design,GER: VP (Visual and Performing Arts),,"Fundamentals of two-dimensional design explored through lectures and class projects with an integration of graphic design as a problem-solving tool. Conceptual development and the formal elements of design are introduced which include type, image and creative software. Students will explore design elements and principles through traditional media and software exercises.",4 credits
67450,ARB-101,Beginning Arabic I,,,"Introduction to the sound system and grammatical structure necessary to develop listening, speaking, reading and writing skills in Arabic.",4 credits
66167,ART-113,Introduction to Painting,GER: VP (Visual and Performing Arts),,"The fundamentals of painting are explored through class projects, lectures and discussions. Students will use oil paint and a variety of surfaces to explore traditional and non-traditional painting methodologies. Emphasis is placed on color theory, composition and paint application. Theme and concept development will be explored.",4 credits
66168,ART-124,Introduction to Drawing,GER: VP (Visual and Performing Arts),,"The fundamentals of drawing are explored through class projects, lectures and discussions. Students will use a variety of materials and learn methods for improving visual communication skills through drawing. Emphasis is placed on drawing from observation, composition, perspective and expressive mark making. Theme and concept development will be explored.",4 credits
66169,ART-200,Introduction to Ceramics,GER: VP (Visual and Performing Arts),,"An introductory course that explores the fundamental techniques and concepts in clay. Students explore hand building, basic wheel work, and surface treatment as essential aspects of form and content. Themes of craft, aesthetics, utility, and history are studied through creative projects that culminate in class critiques.",4 credits
66170,ART-201,Themes in Ceramics,GER: VP (Visual and Performing Arts),ART-112 or ART-200,"A continued study of ceramics with an emphasis on vessel-based work to examine thematic approaches in the medium. Students build on skills and techniques to develop an in-depth understanding of form, utility, and design to create a breadth of ceramic work in relationship to history, craft, and theory.",4 credits
68537,ART-135,Understanding Art: Connecting Objects & Histories,GER: VP (Visual and Performing Arts),,"How do we understand art? In this art history course, students learn to look critically at images, objects, and architecture from across the globe. Students will practice the foundational skills of visual literacy, including how to describe and interpret artworks in relation to their social, cultural, and historical contexts. By studying contemporary and historical artworks, and connecting them through themes, materiality, and networks of exchange, students will explore how objects make meaning for viewers, both in the past and present.",4 credits
66175,ART-207,Printmaking,,,"A survey of printmaking processes and techniques incorporating drawing, design, and color. Emphasis will be on personal image development as students explore skills and approaches related to the mediums such as paper handling, registration, creating editions, and best practices.",4 credits
66176,ART-210,Themes in Sculpture,,ART-112 Introduction to Sculpture,"A continued study of sculpture through the fabrication of three-dimensional artwork in a variety of mediums and processes such as mold-making, installation art, and woodworking. With a focus on ideation, students develop a critical approach to thematic, conceptual, and historical perspectives in sculpture through hands-on, project based work.",4 credits
66173,ART-205,Darkroom Photography,GER: VP (Visual and Performing Arts),,"Introductory black-and-white photography course encouraging visual communication, personal expression and an introduction to photo history. Technical components include camera operation, film processing, and darkroom printing.",4 credits
66172,ART-204,Themes in Painting,,ART-113 Introduction to Painting,A continued exploration of oil painting with an emphasis on ideation and a discovery of personal creative voice. Students will build on technical knowledge and survey new ideas through critical analysis of historical and contemporary painting.,4 credits
66174,ART-206,Digital Photography,GER: VP (Visual and Performing Arts),,"Introduction to digital imaging. Provides a primer for DSLR, Adobe Photoshop, and scanner/printer operation. Explores the history of color photography and its use as a language of visual expression.",4 credits
66177,ART-215,Study Away Photography,GER: VP (Visual and Performing Arts),,"Introduction to photography with emphasis on photojournalism. Technical issues such as composition, camera controls, history and ethics of documentary photography will be discussed. Assignments introduce working methods in the field, and post-production printing in the digital lab.",4 credits
66178,ART-221,Editorial Layout and Design,,ART-111 Introduction to Design,"A continued exploration of graphic design and editorial principles to create narrative relationships between text and images. With focus on commercial publication and production, students create design projects in print and digital media.",4 credits
67607,ART-211,Commercial Photography,,ART-205 or ART-206,"The field of photography is explored through commercial applications such as architectural, fashion, editorial, and portrait photography. Building technical skills through camera, software, lighting, and printing exercises, students will refine their photographic vision in response to a variety of commercial assignments.",4 credits
68203,ART-222,Media Art,,ART-111,"Introduction to methods and processes for media art which could include video, animation, data visualization, creative coding, and immersive and interactive media. Continued use of digital software for art and design.",4 credits
66194,ART-223,Typography,,ART-111 Introduction to Design,"An overview of typography and typesetting with projects, readings, and presentations. Students examine the significance of global letterforms through a development of contemporary typographic knowledge.",4 credits
72674,ART-224,Watermedia,GER: VP (Visual and Performing Arts),,"This is a survey of water-based media. Emphasis will be on personal image development as students explore processes and techniques related to watermedia such as drawing with color, paint opacity, and composition. This course can include, but is not limited to ink drawing, watercolor, and gouache.",4 credits
67331,ART-226,Themes in Drawing,,ART-124 Introduction to Drawing,A continued exploration of drawing materials with an emphasis on ideation and a discovery of personal creative voice. Students will build on technical knowledge and survey new ideas through critical analysis of historical and contemporary drawing.,4 credits
66179,ART-225,Digital Illustration,,ART-111 and ART-124,"The field of illustration is explored through digital means. Emphasis will be paid to digital drawing and painting techniques, while maintaining an awareness of design principles. Character development and narrative will be explored from concept to finished product.",4 credits
66181,ART-237,Arts of Baroque & Rococo,GER: VP (Visual and Performing Arts),,Art and architecture of the 17th and early 18th centuries in Western Europe.,4 credits
66180,ART-236,Renaissance Art,GER: VP (Visual and Performing Arts),,"Study of art and architecture in Italy from c. 1300 to c. 1590 and art and architecture in Northern Europe from c. 1400 - 1500. Style, iconography, and cultural context considered.",4 credits
67498,ART-246,Twentieth Century Art,GER: VP (Visual and Performing Arts),ART-133 Histories of Art II,"A study of artistic movements during the 20th century, with particular focus on the changing definitions of art and the relationships between modernism, the avant-garde, and politics.",4 credits
66182,ART-251,Contemporary Art Since 1960,GER: VP (Visual and Performing Arts),,"This survey covers major figures and developments in visual arts from the postmodern era, circa 1960 to the present.",4 credits
67650,ART-253,Art & Death,GER: UQ (Ultimate Questions),,"This course will explore the visual expressions of death and dying, and the use of art in its rituals. While a common cultural taboo, death also brings with it a rich symbolic language, making it a point of convergence for a wide range of cultural, political, religious, social values, and fears. From funerary arts and architecture, to collective memory, to representations of the “good death” of national heroes, this class will take a wide thematic look at death as an artistic topic. The topics discussed in this class will rotate each semester.",4 credits
67389,ART-245,Nineteenth Century Art,GER: VP (Visual and Performing Arts),ART-133 Histories of Art II,"An examination of the radical transformations ocurring in painting and sculpture from 1780 through 1900 with a focus on the confrontations between traditional academic art, the emerging avant-garde and popular culture. Consideration of the cultural milieu of the 19th century as well as issues of iconography and aesthetics also addressed.",4 credits
66183,ART-252,Women and the Arts,GER: VP (Visual and Performing Arts),,"Historical survey that examines the role of women in Western art as art producers and consumers of art and how women have been represented (by both female and male artists). It will investigate the historical, cultural and social circumstances, and representations that helped to form their work and its reception.",4 credits
66184,ART-254,History of Photography,,,"Historical overview of the medium of photography from its inception in 1826 to present. Tracing photography146 path from scientific innovation and utilitarian tool, to its current status as both art object, and object of persuasion in contemporary society. Using images as visual evidence, analyzing how style and subject matter of photographs reflect the social movements and cultural values of the 19th and 20th century.",4 credits
67643,ART-255,Living in a Material World: Unexpected Art Objects,,,"This course will examine works of visual and material culture that fit within the art historical discourse in unexpected or untraditional ways. Beginning from the interdisciplinary tactics of material culture studies, students will gain a more expansive view of what constitutes an art object. As both markers and makers of cultural systems and narratives, the visual and material worlds intersect through their agency as objects. Students will explore the vibrancy of “stuff” and how the mechanisms of thinking about “things” differ across time. In examining humanity’s conspicuous consumption and the physicality of the visual world, students will learn the ways that we create our worlds, but also the ways those same worlds create us.",4 credits
67693,ART-258,"Embodied Representations: Art, Bodies, & Identities","GER: VP (Visual and Performing Arts) and IEJ (Identities, Equity, and Justice)",,"From the idealized, youthful male nude presented in ancient Greek and Roman sculptures to Marina Abramović’s performance pieces that ask viewers to consider the physical and mental limitations of a living being, the human body occupies a key place in our cultural perceptions of beauty, virtue, heroism, and civility. Artists from across the globe have invented and employed different visual strategies to represent the human form, creating an artistic platform for promoting cultural norms and expectations as well as power structures. By exploring the portrayal of the human form in different states of dress and conditions (including fragmentation) in works of art from antiquity to the present, students will consider how the body serves as a potent signifier of complex socio-cultural issues like sexuality, gender, race, class, science, and religion.",4 credits
67691,ART-257,The Revolution of Print,GER: VP (Visual and Performing Arts),,"Could the Protestant Reformation have happened without the invention of the printing press? How did knowledge, ideas, and news of events spread across cultural and geographic borders before the digital age? What gave rise to a non-elite collecting public in the art world? Prints have historically been understood as enabling the democratization of art, and this course will investigate how such objects revolutionized the exchange of information, technology, and artistic ideas across the globe from the fifteenth century to the present. Students will examine how printed material stimulated and responded to various social, cultural, and intellectual movements.",4 credits
67685,ART-256,Art & Politics,"GER: VP (Visual and Performing Arts) and IEJ (Identities, Equity, and Justice)",,"This course will examine the intersections of art and politics across time and national boundaries. Globally, the production of visual culture is always embedded within dominant cultural narratives, and is used to create, reinforce, and respond to systems of power. From this perspective, this course will define politics broadly to include a traditional understanding, but also to expand to cover the art object’s role in crafting identities and building positionalities. Through this course, students will learn about the power of images in a social context, how political themes are visually represented, and how artistic perspectives have shifted and changed over time.",4 credits
67692,ART-259,History of Design,GER: VP (Visual and Performing Arts),,"This course is a survey of significant developments in the history of design from the mid-nineteenth century to the present. Students will explore a variety of objects and visual designs, including those belonging to categories like furniture, interior design, the decorative arts, graphic design, and illustration. They will study the formal, material, and iconographic character of diverse patterns and images, objects, and buildings while practicing how to situate these works within their broader socio-cultural and historical contexts to determine their significance for the communities who conceived, produced, and originally experienced them. Weekly course topics will focus on how issues of gender, class, race/ethnicity, and colonization have affected the aesthetic and technological developments along with the reception of design. Special emphasis will also be given to examining the strategies and principles of graphic design as an instrument for visual rhetoric, particularly as it relates to global commercialism and consumerism as well as propaganda and protest.",4 credits
67747,ART-265,Museums Are Not Neutral,,,"It is recommended, but not required, that students take at least one art history course at the 100- or 200-level before enrolling in this class. This course interrogates the myth of museum neutrality and examines cultural institutions-museums of art, history, natural history, science, ethnography as well as libraries and archives-as spaces for socially-engaged activity in our communities. It does so by tracing the development of the “national museum,” while also debating the purpose of museums and public art installations in the twenty-first century. We will look at a variety of case studies using primary and secondary sources that explore how collecting practices, exhibition organizing, and community protests have reconstituted the museum space into a site for activism and resistance in contemporary society.",4 credits
66187,ART-263,Arts of Japan,GER: VP (Visual and Performing Arts) and WC (World Cultures),,"Survey of Japanese art history from archaeology through 20th century with emphasis on the evolution of style in the context of religious, social and political change.",4 credits
66185,ART-260,Arts of Pre-Columbian Society,GER: WC (World Cultures),,"Survey of art and architecture of Pre-Columbian societies in Mesoamerica and South America. Consideration of style, iconography and aesthetics and of the functions of art and architecture within each culture.",4 credits
67332,ART-270,Art Conservation,,,"Paintings are subject to damage and deterioration. Studying materials, tools, techniques and processes employed to conserve and protect paintings. Readings and discussions will be supplemented with on-site visits to conservation facilities. May Experience ONLY.",2 credits
67664,ART-275,Art and Architecture of Spanish America 1492 - 1820,,,This class covers the visual culture of colonial Latin America from Contact and Conquest in the early sixteenth century through the first independence movements of the nineteenth century. This course will cover the history and culture of the Spanish Americas through a variety of artistic objects.,4 credits
67665,ART-276,Conceptual Ideation,,"any one of the following courses: ART-111 , ART-112 , ART-113 , ART-124 , ART-200 or ART-205","In this studio art class, students will produce concepts for large bodies of work. Each student will produce ideas for three projects, consisting of multiple images in their preferred medium. Each image will be done in a sketch format and will show the concept of the finished image. May experience",2 credits
67426,ART-271,Art and the Science of Observation,,,"Techniques of visual analysis, based on art history practices. Studying depictions of the human body, students will learn to look closely, better organize their visual experiences, and effectively communicate this information. May Experience ONLY.",2 credits
67794,ART-277,Fantastic Beasts and How to Draw them in Photoshop,,,"Learn the fundamentals of Creature & Character design in Photoshop ® used to create and/or support any intellectual property, such as book-, film-, or game projects. &nbsp;Follow along industry practices and creative design techniques while improving your art fundamentals. Study real-world anatomy, organize key design references, and improve your line, color, and shading technique. Finally progress into design refinement and learn how to effectively present your work to a potential client. May Experience ONLY.",2 credits
67579,ART-272,Success in the Arts,,"One course from Art, Theatre Arts, or Music","The study of business models and entrepreneurial opportunities within the Arts industry. Audience development techniques, fund raising, self-promotion, and market basics will provide insight on how to become successful visual and performing artists.",4 credits
66191,ART-303,Photographic Essay,GER: VP (Visual and Performing Arts),ART-205 or ART-206,"Semester-long photo project focusing on the development of a visual narrative. Through research, students identify a project and create a cohesive body of photographs that form a comprehensive picture story.",4 credits
68554,ART-299,Studio Practicum,,"any two of the following courses: ART 111 , ART 112 , ART 113 , ART 124 , ART 205 or ART 206 Designed for sophomore and junior art majors ,","this course prepares students for upper-level studio art courses in a cohort model. Students write, exhibit, and develop their creative practice through creative ideation, portfolio development, and study of contemporary practices.",2 credits
66188,ART-300,3D Portfolio,,ART-201 or ART-210,Advanced study of sculptural and ceramic processes through sustained studio practices and methodologies. Students create a cohesive body of work through semester-long projects that reflect individual creative voice through research and critical making.,4 credits
66190,ART-302,2D Portfolio,,ART-204 Themes in Painting,"Advanced study of painting, drawing, or printmaking through sustained practices and methodologies. Students create a cohesive body of work through semester-long projects informed by individual concepts and research.",4 credits
66189,ART-301,Life Studies,,ART-112 or ART-113 or ART-124,An in-depth study of the human figure as a mode for personal expression. Students develop a body of artwork utilizing live models in a variety of media.,4 credits
67511,ART-350,Methodologies of Art History,GER: WR (Writing/Research Intensive),"ART-132 , ART-133 , and at least one 200-level art history course","An overview of art historical methodologies of research and scholarship. Comparison of different interpretations on select works of art, based on different art historical practices, various approaches to writing about art, analysis of sources used, theoretical underpinnings, and interpretive processes.",4 credits
66192,ART-320,Brand Design,,ART-111 Introduction to Design,"Study of brand identity through the practice of a comprehensive design process that includes research, analysis, business strategy, organization, production, and presentation. Semester-long design projects explore aspects of brand and identity design from initial concept to final production.",4 credits
66195,ART-330,Art Theory and Criticism,,one art history course,"Combines a historical overview of art theory with discussions of critical writing on contemporary art. In considering historical and contemporary art practice, the theoretical frameworks focus on the nature of art, definitions of beauty, the artistic process, and the relationship between art and audience.",4 credits
67686,ART-340,Curatorial Issues and Practices,,ART-132 or ART-133,"This course will provide the opportunity for hands-on experience through the planning, research, and execution of a curated exhibition. Using art and archives as our primary sources, we will explore the art historical context in which exhibitions are created. The course will culminate with an exhibition, either on campus or online, pending the availability of space and work to be included. The course will blend lecture and seminar discussions with hands-on projects and independent learning.",4 credits
66193,ART-321,Logos and Symbols,,ART-111 Introduction to Design,"Logos and symbols are critical in creating a brand’s first impression. This course gives a dedicated platform focused solely on structure, form, type, and color related to logos and symbols. The course is unique in providing students with a concentrated space to focus solely on logo and symbol design, allowing them to delve deeper into these aspects of storytelling. Students learn the importance of visual signifiers such as form, shape, and color as representatives of a comprehensive understanding of messaging.",4 credits
