coid,code,title,ger,prerequisites,description,credits
66153,ANT-101,Introduction to Anthropology,"GER: HB (Empirical Study of Human Behavior) and WC (World Cultures) and IEJ (Identities, Equity, and Justice)",,"Introduction to anthropology - the study of human cultures in the past and present. Topics include the comparative study of subsistence regimes and economics, stratification and political organization, marriage and kinship, culture, religion, and social and cultural change.",4 credits
66154,ANT-105,Introduction to Archaeology,GER: HB (Empirical Study of Human Behavior) and WC (World Cultures),,"An introduction to physical anthropology and archaeology. Topics include human evolution, human physical variation, the peopling of the world, the origins of food production and a comparison of complex societies around the world.",4 credits
67642,AFS-400,Africana Studies Capstone Course,,AFS-100 Introduction to Africana Studies,"The Africana Studies capstone course prepares students for the major’s culminating exercise, a formal thesis, or a project. Working with the professor and in collaboration with their colleagues in the class, students will produce a research project grounded in Africana Studies methodology, representing an original contribution to the field. Throughout the semester, students will examine and work through the challenges of producing original research. Research topics will draw from disciplinary and interdisciplinary methodologies, theories, and concepts in the humanities and social sciences. The capstone research topics will cover broadly defined themes in Africana Studies such as the effects of Atlantic slavery on the United States, the Americas, Africa, and Europe; the Black freedom struggle in the United States; women, gender, and sexuality in Black America, the African diaspora, and Africa; colonialism and independence in Africa and the Caribbean. Students will be encouraged to critically explore research topics from courses they have taken in Africana Studies and related disciplines as topics for their capstone research projects.",4 credits
66155,ANT-202,Peoples of Africa and the African Diaspora,GER: WC (World Cultures),,Social and anthropological survey of the diverse peoples in contemporary sub-Saharan Africa.,4 credits
66156,ANT-203,Peoples and Cultures of the World,GER: WC (World Cultures),,"Ethnographic survey of global cultural diversity, with case studies of Africa, the Americas, Asia, Europe, and the Middle East. Topics may include daily life, sociocultural and environmental change and adaptation, migration, politics, work, religion, gender, family, and art among foraging, agricultural, and industrial societies.",4 credits
66158,ANT-205,Japanese Popular Culture,GER: VP (Visual & Performing Arts) and WC (World Cultures),,"An introduction to contemporary popular Japanese culture that has become globally popular, including Japanese animated films, Manga cartoon, video games, Cosplay (costume play enactment of video game and anime characters), J-Pop music, and karaoke. Through watching, listening, selected readings, and discussion, issues of gender, cultural identity, sexuality, technology, hybridity, and globalization will be addressed.",4 credits
66159,ANT-209,Gender in East Asia,GER: HB (Empirical Study of Human Behavior) and WC (World Cultures),,"An examination of gender in East Asia from an anthropological perspective. It establishes broad frameworks for analyzing sexuality and gender in Asia and encourages close readings of individuals’ life experiences. Past scholarly engagements with gendered Asia and ongoing Orientalist interpretations will be discussed. Specific topics may include gender-based discrimination, activism, kinship systems, regional variations in approaches to sexual orientation, migration, and sex work. Students will analyze media to examine how representations of gender in East Asia are produced.",4 credits
67776,ANT-230,Biological Anthropology,GER: NE (Humans and the Natural Environment),,"A broad survey covering such topics as genetics, evolutionary mechanisms, adaptation, primate studies, the human fossil record, and human variation within the framework of interaction between humans and the environment. Laboratory exercises as well as tutorial topics facilitate the discussion of biological issues within a cultural context. The course is divided into three sections: Human Genetics, Human Ecology and Primatology, Human Evolution and Adaptation. The course includes only 4 lab sessions during the semester.",4 credits
67638,ANT-250,Race and the US Criminal Justice System,"GER: HB (Empirical Study of Human Behavior) and IEJ (Identities, Equity, and Justice)",,"This course examines the criminal justice system and the over-representation of racial minorities, particularly African Americans. It begins with an exploration of the social, economic, and political context of race and the controlling of Black bodies. It further investigates the interactions between citizens and the police, courts, and correctional institutions. This course will also incorporate an examination of public and news media responses to these interactions, including, but not limited to, social media reactions to cases of police brutality.",4 credits
66157,ANT-204,Modern Japanese Society through Films,GER: VP (Visual & Performing Arts) and WC (World Cultures),,"Survey of various facets of modern Japanese society and culture, including family, community, ethnicity, life cycle, education, gender, religion, work, popular culture, as well as cultural aspects of economic and political systems through readings and films.",4 credits
67312,ANT-262,Magic and Religion,GER: WC (Global Awareness:  World Cultures),,"This course focuses on how people from cultures around the world, but primarily from Asia, Africa, or Latin America, conceptualize the spiritual realm, and how such conceptualizations are shaped by the values and social relations of the cultures in which they occur. Of particular concern is the relationship between magic and religion. We will examine the diverse ways in which humans attempt to communicate and intervene with the divine as well as ritually mark crucial moments such as birth, death, illness, and change.",4 credits
68204,ANT-253,Anthropology of Development in Latin America,"GER: WC (World Cultures) and IEJ (Identities, Equity, and Justice)",ANT-101 or SUS-120,"This course will cover the theoretical concept of “development” from an anthropological perspective, grounded in the idea that economic development is a sociocultural process contingent on historical processes and patterns, as well as contemporary power structures. We will examine development issues in Latin America through this lens, with a particular focus on some of the challenges facing sustainable development, including environmental and social equity.",4 credits
66161,ANT-263,Environmental Anthropology,GER: HB (Empirical Study of Human Behavior) and NE (Humans and their Natural Environment),,"A comparative survey of how people, culture, and the environment interact – both when people and their culture adapt to environmental change, and when they adapt to the changes they have caused. Readings include both classic studies as well as current research, with particular emphasis upon subsistence regimes and their attendant scales of social organization, and upon the role of cultural institutions in shaping ecological relationships.",4 credits
67689,ANT-258,Women in Africa and the African Diaspora,GER: HB (Empirical Study of Human Behavior),,"This course examines the historical, cultural, socioeconomic, and political realities of women in Africa and the African Diaspora. We will explore feminism, black feminism, Africana feminism, and womanism as frameworks for studying women of African descent across multiple geographic spaces: North America, Latin American, the Caribbean, and Africa. This course will explore topics related to identity and cultural representation, including colonialism, Black hair, skin lightening, stereotypes and music.",4 credits
67688,ANT-254,The Power and Politics of Black Foodways,"GER: HB (Empirical Study of Human Behavior) and WC (World Cultures) and IEJ (Identities, Equity, and Justice)",,"This course offers an anthropological exploration of global Black foodways from its inception in colonialism to its current, contemporary representation in the United States, and across the globe. Topics to be examined include the historical development of contemporary Black foodways, the power and politics associated with the production, distribution, and consumption of foods from African and Afro-Diasporic regions, as well as the related social and cultural connotations. This course has a culinary lab component that will involve hands-on cooking sessions.",4 credits
