id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
10688072,Improv Show,This semesters last Improv Show!,Burgiss Theatre,2024-12-07T01:00:00+00:00,2024-12-07T02:00:00+00:00,Improv!able Cause Improvisational Comedy Troupe,183486,,Social,Public
8507695,Improv October Show,10/22/22 Improv Show!,Burgiss Theater,2022-10-22T00:00:00+00:00,2022-10-22T01:00:00+00:00,Improv!able Cause Improvisational Comedy Troupe,183486,,Arts,Public
7373929,September 2021 Improv Show,Sep 24 improv show,Burgiss Theater,2021-09-25T00:30:00+00:00,2021-09-25T01:30:00+00:00,Improv!able Cause Improvisational Comedy Troupe,183486,,Arts,Public
