id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12321158,Sigma Alpha Epsilon Chapter,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon,Johns 212,2026-05-10T22:30:00+00:00,2026-05-11T00:00:00+00:00,Sigma Alpha Epsilon,183396,Greek Life Event,GroupBusiness,Public
12321157,Sigma Alpha Epsilon Chapter,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon,Johns 212,2026-05-03T22:30:00+00:00,2026-05-04T00:00:00+00:00,Sigma Alpha Epsilon,183396,Greek Life Event,GroupBusiness,Public
12321152,Sigma Alpha Epsilon Chapter,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon,Johns 212,2026-04-06T23:30:00+00:00,2026-04-07T00:30:00+00:00,Sigma Alpha Epsilon,183396,Greek Life Event,GroupBusiness,Public
12321151,Sigma Alpha Epsilon Chapter,Weekly chapter meeting for the SC Phi chapter of Sigma Alpha Epsilon,Johns 212,2026-04-05T22:30:00+00:00,2026-04-06T00:00:00+00:00,Sigma Alpha Epsilon,183396,Greek Life Event,GroupBusiness,Public
