id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
1696154,BCM Christmas Party!,BCM Christmas Party! Details/Accurate Time to come soon!,TBD,2012-11-29T23:30:00+00:00,2012-11-30T00:30:00+00:00,Furman Baptist Collegiate Ministry,183503,,Unknown,Public
1699431,Homecoming Float Building!,"Come and join us on the Furman Mall as we participate in the longtime Furman tradition of float-building! We will cookout (Thursday) and have pizza (Friday) on the mall, so don't worry about dinner. Come and share your construction and decoration skillz as we build a homecoming float!",Furman Mall,2012-10-18T21:00:00+00:00,2012-10-18T22:00:00+00:00,Furman Baptist Collegiate Ministry,183503,,Unknown,Public
1699292,BCM Thursday Nights!,"Come and join for a time of fellowship around the table, worship, and study of God's Word! It would be our deep joy to worship with you at Furman BCM!",Burgiss Theater,2012-10-04T23:30:00+00:00,2012-10-05T01:15:00+00:00,Furman Baptist Collegiate Ministry,183503,,Unknown,Public
1699214,BCM Thursday Nights!,"Come and join for a time of fellowship around the table, worship, and study of God's Word! It would be our deep joy to worship with you at Furman BCM!",Burgiss Theater,2012-09-13T23:30:00+00:00,2012-09-14T01:15:00+00:00,Furman Baptist Collegiate Ministry,183503,,Unknown,Public
1698723,BCM Thursday Nights!,"Come and join for a time of fellowship around the table, worship, and study of God's Word! It would be our deep joy to worship with you at Furman BCM!",Burgiss Theater,2012-08-30T23:30:00+00:00,2012-08-31T01:15:00+00:00,Furman Baptist Collegiate Ministry,183503,,Unknown,Public
