id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
11893727,Music Bingo Country Hits!,Music Bingo Country Hits!,Trone Student Center PDen,2025-11-21T00:30:00+00:00,2025-11-21T02:00:00+00:00,Office of Student Involvement,170799,,Social,Public
11257867,FUPD Fire Extinguisher Training,Join FUPD and the TR Fire Department to learn about fire safety and how to use a fire extinguisher!,Point of View Firepit behind the Trone Student Center,2025-04-16T14:00:00+00:00,2025-04-16T16:00:00+00:00,Office of Student Involvement,170799,,ThoughtfulLearning,Public
11048556,Valentine Team Bingo!,"Play bingo with your BESTIE or your SWEETHEART! Teams of two will compete to win AMAZING prizes, including: -retro record player -mini video projector -blankets, board games and candy SEE YOU THERE!",TRONE CENTER ATRIUM,2025-02-14T00:00:00+00:00,2025-02-14T01:30:00+00:00,Office of Student Involvement,170799,,Social,Public
10293753,Student Involvement Fair,The Office of Student Involvement is hosting the fall involvement fair on Sept. 4 from 4-6pm. Come out to learn more about all of our amazing student organizations here campus!,Trone Student Center,2024-09-04T20:00:00+00:00,2024-09-04T22:00:00+00:00,Office of Student Involvement,170799,,Social,Public
9928578,Trivia - Dins After Dark,"Part of the weekly Dins After Dark series. Join the Office of Student Involvement and FUSAB for Trivia! Thursday, February 15th from 7-9 at the Paddock. Music, fun, and prizes! Specialty food available for purchase!",The Paddock,2024-02-16T00:00:00+00:00,2024-02-16T02:00:00+00:00,Office of Student Involvement,170799,,Social,Public
7347527,Annual Poster Sale,Still looking for just the right room décor? Stop by our annual poster sale!,Trone Student Center Front Patio,2021-09-22T13:00:00+00:00,2021-09-22T21:00:00+00:00,Office of Student Involvement and Inclusion,170799,,Social,Public
7030325,Pop Up Bistro: Pasta Bar,"Milford Mall Tent, 6-8pm Sponsored by Bon Appetit",Milford Mall Tent,2021-04-14T22:00:00+00:00,2021-04-15T00:00:00+00:00,Office of Student Involvement and Inclusion,170799,,Social,Public
6869145,Snatch-a-Snack Food Truck: Game Day!,"Game-day themed Snatch-a-Snack Food Truck! Featuring chicken wing dip and spinach artichoke dip. Beginning at 9pm - keep an eye out in your residential area for the truck! Sponsored by Bon Appetit, no swipes needed!",Your residential area!,2021-02-05T02:00:00+00:00,2021-02-05T03:00:00+00:00,Office of Student Involvement and Inclusion,170799,,Social,Public
6496612,In-Person Student Involvement Fair!,"Meet representatives from different student organizations! Learn more about the organization and how to get involved! Different student organizations will be present each day - check back for a list of who will be participating on each date. October 6, 7, 8 and October 13, 14, 15 from 5-6PM on the Front Patio of the Trone Student Center. Organizations participating on October 7: Furman University News Channel Club Ultimate Frisbee FU Dance Club Women's Club Lacrosse Furman Badminton Club Order of Furman Theater The Den The Cothran Center for Vocational Reflection",Trone Student Center Front Patio,2020-10-07T21:00:00+00:00,2020-10-07T22:00:00+00:00,Office of Student Involvement and Inclusion,170799,,Social,Public
6496611,In-Person Student Involvement Fair!,"Meet representatives from different student organizations! Learn more about the organization and how to get involved! Different student organizations will be present each day - check back for a list of who will be participating on each date. October 6, 7, 8 and October 13, 14, 15 from 5-6PM on the Front Patio of the Trone Student Center. Organizations participating on October 6: Men's Club Basketball Club Golf Mere Christianity Forum Pre-Law Society First Responders Club The Paladin Newspaper Aikido Club Beta Beta Beta Biological Honors Society Reformed University Fellowship (RUF) Furman Creative Collaborative",Trone Student Center Front Patio,2020-10-06T21:00:00+00:00,2020-10-06T22:00:00+00:00,Office of Student Involvement and Inclusion,170799,,Social,Public
6435046,Gameday at the Trone!,"We know it's not as good as watching the Paladins play on Saturday, but join us to watch some college football! We'll have games on every week - feel free to request the game you want to watch!",Hill Atrium,2020-10-03T16:00:00+00:00,2020-10-04T00:00:00+00:00,Office of Student Involvement and Inclusion,170799,,Athletics,Public
2868967,Movie Night: Hocus Pocus,"Join OSII for our Halloween Themed Movie Night! We will be watching Hocus Pocus on the Trone Front Patio at 8 p.m. on October 26. Bring a blanket and come enjoy some friendly spooks. We promise not to put a spell on you and why be afraid ""It's just a bunch of hocus pocus!"" ""A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.""",Trone Student Center Front Patio and Burgiss Theater as Rain Location,2018-10-27T00:00:00+00:00,2018-10-27T02:00:00+00:00,Office of Student Involvement and Inclusion,170799,,Social,Public
1697526,Homecoming Week!,Celebrate Homecoming Week with the Paladins!,No location specified,2011-10-23T04:00:00+00:00,2011-10-24T04:00:00+00:00,Office of Student Involvement and Inclusion,170799,,Unknown,Public
1698107,Homecoming Week!,Celebrate Homecoming Week with the Paladins!,No location specified,2011-10-22T04:00:00+00:00,2011-10-23T04:00:00+00:00,Office of Student Involvement and Inclusion,170799,,Unknown,Public
1697382,Homecoming Week!,Celebrate Homecoming Week with the Paladins!,No location specified,2011-10-21T04:00:00+00:00,2011-10-22T04:00:00+00:00,Office of Student Involvement and Inclusion,170799,,Unknown,Public
1698496,Homecoming Week!,Celebrate Homecoming Week with the Paladins!,No location specified,2011-10-20T04:00:00+00:00,2011-10-21T04:00:00+00:00,Office of Student Involvement and Inclusion,170799,,Unknown,Public
