name,short_name,slug,status,visibility,category_names,description,summary
Furman University Club ,FUCR,furman-running-club,Active,Public,Atheltics;Club Sports,"The Furman University Running Club team provides a supportive and energetic community for all runners on Furman's campus. It offers a fun, friendly and hardworking atmosphere while encouraging runners of all abilities as they work toward their goals and potential.","A supportive and energetic community for all runners on Furman's campus. We offer a fun, friendly and hardworking atmosphere while encouraging runners of all abilities as they work toward their goals."
Furman University Club Baseball,Club Baseball,furman-university-club-baseball,Active,Public,Atheltics;Club Sports,"Furman Club baseball is a competitive intercollegiate program. It is the goal of this program to provide Furman students the opportunity to continue their baseball careers at a high caliber level while exhibiting good sportsmanship, commitment, and passion for not only the game of baseball, but for also for being a member of a team. We play in the National Club Baseball Association, one of the fastest growing club baseball leagues.",Furman Club Baseball provides students with the ability to play baseball at Furman University. FUCB plays against other collegiate club baseball programs.
Furman University Club Golf,Furman Club Golf,furman-university-club-golf,Active,Public,Club Sports,Club Golf’s goal is to promote a fun but competitive environment in which golfers can compete with other collegiate players on a similar level of ability at premiere golf venues throughout the Southeast.,Club Golf’s goal is to promote a fun but competitive environment in which golfers can compete with other collegiate players on a similar level of ability at premiere golf venues throughout the Southeast.
Furman University Club Swim Team,Club Swim,furman-club-swim-team,Active,Public,Atheltics;Club Sports,"Furman Club Swim Team provides the opportunity for swimmers of all levels of ability, background and experience to train, compete, and have fun as a team. For Fall 2025, we will have weekly practices on Tuesdays, Wednesdays, and Thursdays from 4-5. Swimmers are not required to attend a set number of practices or meets; however, attendance is highly encouraged! We will compete in College Club Swimming meets this fall, and spring on other college campuses. It is a great way to meet and train with swimmers from all different backgrounds towards whatever goals you have for your athletic pursuits!","The goal of the Furman Club Swim Team is to provide an opportunity for swimmers of all ability levels and background experiences to train, compete and have fun. Contact the President for more details."
Furman University Club Tennis,Club Tennis,furman-university-club-tennis,Active,Public,Club Sports,"Furman University Club Tennis membership is open to players of all levels. The travel team will travel 2-3 times per semester to tournaments sponsored by the USTA Tennis on Campus program. For more information about the USTA Tennis on Campus program, visit http://www.tennisoncampus.com. Practices will be held 2 times during the school week and all are welcome to come as anyone can be on the practice team.",Furman University Club Tennis membership is open to players of all levels. Our more competitive players travel 2-3 times per semester to tournaments sponsored by the USTA Tennis on Campus program. Practices will be held at least twice a week.
Furman University Cryptology Club,FU Cryptology,fu-cryptology,Active,Public,Academic;Special Interest,"What do Escape the Rooms, the movie ""The Imitation Game"", and ancient Egyptian hieroglyphics all have in common? They are all related to code-breaking, otherwise known as cryptology. Each presents a puzzle in which there is a unknown piece of information that must be discovered through clever logic, working backwards from the encrypted or known piece of information. The process of decrypting a ciphertext, as they are called, is like a puzzle in which one can harness math, linguistics, computation, and history to deduce what the original message was.",Come join the Furman University Cryptology Club to work on collaborative codebreaking and puzzle solving! No specialized background is required and we welcome faculty and students from all disciplines.
Furman University Cycling Team,Furman Cycling Team,furman-university-cycling-team,Active,Public,Atheltics;Club Sports,The Furman Cycling Team is a club team at Furman University. The team competes regionally in the South Eastern Collegiate Cycling Conference (SECCC) and nationally under USA Cycling. The team has won numerous national titles on the road and in cyclocross.,The Furman Cycling Team is a club team at Furman University. The team competes regionally in the South Eastern Collegiate Cycling Conference (SECCC) and nationally under USA Cycling. The team has won numerous national titles on the road and in cyclocross
Furman University Dance Club,FUDC,furman-university-dance-club,Active,Public,Atheltics;Fine Arts;Special Interest,"Classes are Tuesday Nights from 8:30-9:30pm! Location: PAC Dance Studio Each week is a new style and a chance to try something new! Styles include ballet, jazz, hip hop, and more! Take a break, get some exercise and, most importantly, have fun!","Furman University Dance Club provides weekly dance classes taught by a professional or by fellow students. Class for ALL levels from 8-9pm on Wednesday's. Location: PAC Dance Studio Styles included: Ballet, Modern, Jazz, Hip Hop, and more!"
Furman University Data Science and Machine Learning Club,Data Science Club,data_science,Active,Public,Academic;Programmatic;Special Interest,"The Furman University Data Science Club is a student-run organization that aims to create a group of people equipped with all the skills needed for the data science field, with capstone projects and helping researchers all around campus with data-related research. We hope to educate members through student, faculty and guest-speech-led discussions; in conjunction with projects using the application of data science in numerous fields. Similarly, we aim to explore machine-learning concepts in real-world data to strengthen the skill.","Furman University Data Science Club creates a community focused on developing data science skills through hands-on projects, research support, and discussions. We also explore real-world machine learning applications to deepen our expertise."
Furman University Disc Golf,FUDG,fudg,Active,Public,Atheltics,"Welcome to FUDG! Every weekend we will vote on a time and place to play a round and have some fun. All skill levels are welcome to play and learn the sport of disc golf. While bringing your own golf discs is highly recommended we have discs that are free to borrow if you are taking more of a casual angle to the club. If you want to or already take the sport more competitively, we can possibly enter individuals into local tournaments. If we get enough dedicated members we could create an official college disc golf team and compete nationally. While currently we just get together to throw discs and have fun, this club has a lot of opportunity to grow into something incredible.",FUDG is Furman's disc golf club where members get together to play rounds or tournament events casually or competitively around the city of Greenville. If we get a dedicated group of players we can create a college team and compete as well in the future!
Furman University East European and Eurasian Student Association,FU EEESA,fu-east-european-eurasian-student-association,Active,Public,Diversity and Inclusion;Student Diversity Council Organizations,"The organization will host events and activities sharing cultures, music, food, history, art etc. of East European and Eurasian countries, which will help students from these countries feel more home away from home and bring their valuable perspectives. Moreover, it will help American or other international students better understand people with different backgrounds, develop cultural awareness, and just try out new interesting things!","The purpose of FU EESA is to provide an environment for people of similar cultures and backgrounds to get together, as well as to share insights about East European and Eurasian countries with other interested Furman students."
