id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12188350,RLC weekly meeting,Our weekly general body meeting preceded by RLC exec meeting.,FUR-214,2026-04-29T21:30:00+00:00,2026-04-29T22:30:00+00:00,Residential Life Council,183409,,GroupBusiness,Public
12188361,Super Bowl Promo Pop Up,RLC will be serving coffee and donuts to the student body to promote our Super Bowl event!,Trone Atrium,2026-02-02T14:00:00+00:00,2026-02-02T16:00:00+00:00,Residential Life Council,183409,,Social,Public
11529415,RLC Weekly Meeting,Residential Life Council executive board and members meet to discuss weekly updates and upcoming events.,Furman 214,2025-11-19T22:30:00+00:00,2025-11-19T23:30:00+00:00,Residential Life Council,183409,,GroupBusiness,Public
11529407,RLC Weekly Meeting,Residential Life Council executive board and members meet to discuss weekly updates and upcoming events.,Furman 214,2025-09-24T21:30:00+00:00,2025-09-24T22:30:00+00:00,Residential Life Council,183409,,GroupBusiness,Public
10702032,RLC Tabling,Tabling to promote our S'mores event!,Joseph Vaughn Plaza,2024-11-11T17:00:00+00:00,2024-11-11T18:30:00+00:00,Residential Life Council,183409,,Social,Public
10628864,RLC Tabling,RLC Tabling and Giveaway to raise awareness for our upcoming events,Joseph Vaughn Plaza,2024-10-22T16:00:00+00:00,2024-10-22T18:00:00+00:00,Residential Life Council,183409,Media Event,Social,Public
