id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12353698,Pi Kappa Phi Chapter Meeting,"Our chapter will meet to discuss weekly programming, upcoming events, and review the past week.",Watkins Room,2026-04-05T23:00:00+00:00,2026-04-06T00:00:00+00:00,Pi Kappa Phi - Delta Chapter,183306,Greek Life Event,GroupBusiness,Public
11837374,Pi Kapp Halloween Party,A Halloween party for brothers and their invites,Fieldhouse TR,2025-11-02T00:30:00+00:00,2025-11-02T03:30:00+00:00,Pi Kappa Phi - Delta Chapter,183306,,Social,Public
10918038,Pi Kappa Phi Mid-Week Executive Council Meeting,A mid week meeting for the Executive Council to discuss business.,Trone 208B,2025-02-13T19:30:00+00:00,2025-02-13T20:30:00+00:00,Pi Kappa Phi - Delta Chapter,183306,,GroupBusiness,Public
10758829,Pi Kappa Phi Christmas Party,A Christmas Party in Watkins for Brothers and their dates.,Watkins Room,2024-12-07T00:00:00+00:00,2024-12-07T01:30:00+00:00,Pi Kappa Phi - Delta Chapter,183306,,Social,Public
10497685,Pi Kappa Phi Earth Wind and Fire Party,A 70’s/disco themed party at field house sports bar for brothers and their invites.,Fieldhouse Sports Bar,2024-09-22T01:00:00+00:00,2024-09-22T03:45:00+00:00,Pi Kappa Phi - Delta Chapter,183306,,Social,Public
9628298,Pie a Pi Kapp,Brothers of Pi Kappa Phi will accept donations in order for their friend's and peers to pie them in the face with whipped cream.,Trone Upper Patio,2023-11-27T16:00:00+00:00,2023-11-27T20:00:00+00:00,Pi Kappa Phi - Delta Chapter,183306,Greek Life Event,Fundraising,Public
7053437,Pi Kappa Phi Philanthropy Tabling/Ticket Sales,Pi Kappa Phi will be selling tickets to an event we will host on that Friday in order to raise money for our philanthropy: the Ability Experience.,Trone Student Center,2021-04-15T14:00:00+00:00,2021-04-15T18:00:00+00:00,Pi Kappa Phi,183306,,Fundraising,Public
7053442,Pi Kappa Phi Penny Wars Tabling,Pi Kappa Phi will be tabling inside Trone outside of the PDen to collect money for our philanthropy: the Ability Experience.,Trone Student Center,2021-04-13T12:00:00+00:00,2021-04-14T00:00:00+00:00,Pi Kappa Phi,183306,,Fundraising,Public
1696308,Ultimate Frisbee vs. Bounty Hunters,,NV Fields,2012-09-25T21:30:00+00:00,2012-09-25T22:30:00+00:00,Pi Kappa Phi,183306,,Unknown,Public
