id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
11529421,APO Information Session,Learn about what it's like to be an APO brother!,Furman Hall 201,2025-09-08T20:00:00+00:00,2025-09-08T21:00:00+00:00,Alpha Phi Omega,183388,Community Service,CommunityService,Public
10960357,APO Bro Dinner,Have dinner with members of APO!,DH,2025-02-12T23:00:00+00:00,2025-02-13T00:00:00+00:00,Alpha Phi Omega,183388,,Social,Public
10451939,Bake Sale,Buy homemade baked goods to support Alpha Phi Omega,Trone Lower Lobby,2024-09-23T15:30:00+00:00,2024-09-23T17:30:00+00:00,Alpha Phi Omega,183388,,Fundraising,Public
10402513,Alpha Phi Omega Speed Friending,Come learn about Alpha Phi Omega and meet the brothers,Furman Hall 107,2024-09-05T23:00:00+00:00,2024-09-06T00:00:00+00:00,Alpha Phi Omega,183388,,Social,Public
9887209,Board Games with Alpha Phi Omega,Come play board games with the members of Alpha Phi Omega.,Furman Hall 106,2024-02-15T21:00:00+00:00,2024-02-15T22:00:00+00:00,Alpha Phi Omega,183388,,Social,Public
