id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
10291132,Delta Gamma Exec meetings,weekly exec meeting,J300,2024-12-08T18:00:00+00:00,2024-12-08T19:00:00+00:00,Delta Gamma,183403,Greek Life Event,GroupBusiness,Public
10758830,DG Study Hall,Study Hall for the sisters of Delta Gamma. We believe in cultivating educational interests and this is a way that we can provide a space for our sisters.,John’s 105,2024-12-06T20:30:00+00:00,2024-12-06T21:30:00+00:00,Delta Gamma,183403,,ThoughtfulLearning,Public
10291129,Delta Gamma Exec meetings,weekly exec meeting,J300,2024-11-10T18:00:00+00:00,2024-11-10T19:00:00+00:00,Delta Gamma,183403,Greek Life Event,GroupBusiness,Public
10291122,Delta Gamma Exec meetings,weekly exec meeting,J300,2024-09-22T17:00:00+00:00,2024-09-22T18:00:00+00:00,Delta Gamma,183403,Greek Life Event,GroupBusiness,Public
7273353,Delta Gamma Tailgate,"We will be having our first tailgate back, woohoo! There will be pre-packed food and waters/juice boxes provided with games and other decorations.",Champions Grove,2021-11-13T16:00:00+00:00,2021-11-13T21:00:00+00:00,"Delta Gamma, Zeta Upsilon Chapter",183403,Greek Life Event,Social,Public
