id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
11232332,General Body Meeting,We will be voting on new Central Committee members as well as discussing our Wage Justice campaign.,Furman Hall 214,2025-04-14T23:30:00+00:00,2025-04-15T01:00:00+00:00,Furman Young Democratic Socialists of America,370745,,Cultural,Public
11180757,Wage Justice Canvassing,We will be canvassing for a living wage on Furman's campus!,Joseph Vaughn Plaza,2025-03-21T16:00:00+00:00,2025-03-21T17:30:00+00:00,Furman Young Democratic Socialists of America,370745,,CommunityService,Public
9418739,"""What is Socialism?"" Political Education Event","Join the Furman Young Democratic Socialists of America for a discussion about socialism, what it is, why it matters, and how Furman YDSA incorporates its principles into our work. This meeting is for everyone, regardless of your level of familiarity with the ideas being discussed. Come as you are!",Johns Hall 101,2023-09-27T22:00:00+00:00,2023-09-27T23:00:00+00:00,Furman Young Democratic Socialists of America,370745,Political,ThoughtfulLearning,Public
