id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12265825,Ski Rave #2,social gathering Ski themed,Cats Pajamas,2026-02-21T00:00:00+00:00,2026-02-21T03:00:00+00:00,"Sigma Chi, Iota Nu Chapter",183518,,Social,Public
11180750,Derby Days Closing Ceremony,"Sigma Chi closing ceremony for Derby will take place on G Field. We will announce the winners of Derby Days, have a live band, and food.",G Field,2025-03-21T20:30:00+00:00,2025-03-21T23:00:00+00:00,"Sigma Chi, Iota Nu Chapter",183518,Greek Life Event,Social,Public
11180747,Sigma Chi Derby Days Day 4: PowderPuff,Day 4 of Derby Days will be a powderpuff football game where sororities compete against each other in flag football. There will be food and water available at these games.,North Village Field 1,2025-03-20T21:00:00+00:00,2025-03-21T00:00:00+00:00,"Sigma Chi, Iota Nu Chapter",183518,Greek Life Event,Fundraising,Public
10767008,Sigma Chi Christmas Raffle Tabling,We will be tabling in front of Trone for our Christmas raffle.,Trone Student Center Paddio,2024-12-06T16:15:00+00:00,2024-12-06T21:15:00+00:00,"Sigma Chi, Iota Nu Chapter",183518,Greek Life Event,Fundraising,Public
9635637,Burgers To Beat Cancer,We will be grilling and selling burgers to raise money for the Huntsman Cancer Institute.,Furman University,2023-11-28T16:15:00+00:00,2023-11-28T18:30:00+00:00,"Sigma Chi, Iota Nu Chapter",183518,Greek Life Event,Fundraising,Public
7574240,ADPI x ΣX Fashion Show,Alpha Delta Pi and Sigma Chi philanthropy fashion show.,McAlister Auditorium,2021-11-10T00:00:00+00:00,2021-11-10T02:00:00+00:00,"Sigma Chi, Iota Nu Chapter",183518,Greek Life Event,Fundraising,Public
1951515,Derby Days Field Day,"Hosting various field day activities such as one leg race, balloon toss, egg walk, tug of war, and sack race. Five dollar admission. All proceeds go to benefiting the Huntsman Cancer Institute",Upper North Village Soccer Field,2018-04-09T19:00:00+00:00,2018-04-09T21:00:00+00:00,"Sigma Chi, Iota Nu Chapter",183518,,Fundraising,Public
