id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12313049,HOLA Fundraiser,"This fundraiser would be to raise funds for the HOLA organization. Would consist of baked store bought pasteries, hot drinks, coffee, and Mexican hot chocolate.",Joseph Vaughn Plaza,2026-03-20T15:30:00+00:00,2026-03-20T17:30:00+00:00,Hispanic Outreach and Latine Awareness,183356,Diversity and Inclusion ,Fundraising,Public
12196673,Bachata Night,HOLA is hosting a bachata night where Furman students learn how to dance bachata step-by-step.,Furman Campus Recreation & Wellness (PAC) Room 201,2026-02-20T22:00:00+00:00,2026-02-20T23:00:00+00:00,Hispanic Outreach and Latine Awareness,183356,,Cultural,Public
11759406,HOLA General Body Meeting,"HOLA will be having their biweekly meeting on Thursday, October 9 at 6pm in FUR 117.",FUR117,2025-10-09T22:00:00+00:00,2025-10-09T23:00:00+00:00,Hispanic Outreach and Latine Awareness,183356,Diversity and Inclusion ,Cultural,Public
4836600,Fiesta Hispana,"This annual event is a collaborative celebration featuring an array of Latin American music, dance and food. The program will feature performances by the NC Brazilian Arts Project, promoting an enriching experience of Brazilian folkloric movement forms such as Samba, Afro-Brazilian Dance, Capoeira, Maculelê and percussion. Interactive dance and salsa lessons with Rumbao Latin Dance Company and live music featuring North Carolina’s finest salsa band Orquesta Mayor. This event is FREE and open to the public.",Lakeside Amphitheater,2019-09-20T22:00:00+00:00,2019-09-20T23:00:00+00:00,Hispanic Outreach and Latinx Awareness,183356,Diversity and Inclusion ,Cultural,Public
1709754,Ritmo Latino,"This event is a dance workshop led by Cesar Jaramillo and Bryan Rodriguez. There will be a mix of the dance styles of bachata, salsa and merengue. The workshop will be after the performance and the performers/dance instructors will teach students dance steps, vocabulary, and phrases used during performances and dances. The students will also be able to see different Latin cultures represented. There will be dances from the Dominican Republic, Cuba, Puerto Rico, and Colombia. After the performance, students will be able to interact with the professional dancers. Students will learn dance steps and have the opportunity to practice Spanish.",McAlister Auditorium,2017-04-05T22:00:00+00:00,2017-04-05T23:00:00+00:00,Hispanic Outreach and Latinx Awareness,183356,,Unknown,Public
