id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12240698,Anthropology Club Smore's,"Come join us to hang out around the fire like humans have for thousands of years! While early humans may not have had smore's, we sure do (while supplies last).",Trone Point of View Fire Pit,2026-03-20T21:00:00+00:00,2026-03-20T22:30:00+00:00,Furman University Anthropology Club,370742,Meeting;Special Interest,Social,Public
11681275,Pottery Night,Come learn about the invention of pottery and try some hand-built pottery techniques with air dry clay.,Furman Hall 107,2025-09-25T21:30:00+00:00,2025-09-25T22:30:00+00:00,Furman University Anthropology Club,370742,Special Interest,Social,Public
9921825,Mini-Talk by Dr. Scott Legge: What Happens When a Monkey Falls Out of a Tree?,Dr. Scott Legge will give a talk following the events of Anthropology Day concerning the effect of gravity upon large and medium-bodied African Primates. This talk will be held in Furman Hall 229.,Furman Hall 229,2024-02-15T22:30:00+00:00,2024-02-15T23:00:00+00:00,Furman University Anthropology Club,370742,Academic,ThoughtfulLearning,Public
