id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
11036411,Valentines Day with ACS,Come have s'mores and hot cocoa with ACS on Thursday Feb 13th by the fire pit at Trone!,Trone Student Center,2025-02-14T00:00:00+00:00,2025-02-14T01:30:00+00:00,American Chemical Society,183297,Social Programmatic;Special Interest,Social,Public
1696563,ACS October Meeting,"Come out to hear about some awesome service opportunities, enjoy some liquid nitrogen ice cream, and the company of your fellow chem majors!",Plyler 231,2012-10-18T22:00:00+00:00,2012-10-18T23:00:00+00:00,American Chemical Society,183297,,Unknown,Public
1695766,ACS Spring Picnic,"Come out for food and fun at the ACS Spring Picnic! We will have hamburgers (veggie burgers for vegetarians) and hot dogs and lots of delicious treats. Activities include volleyball, basketball, frisbee, and a variety of board games. You will also have a chance to win a periodic table blanket! The cost is $2 for non-members and FREE for everyone else. Sign-ups are posted on the board outside the chemistry suite. Hope to see you there!",North Village Pavilion (Near G),2012-04-23T22:30:00+00:00,2012-04-24T00:30:00+00:00,American Chemical Society,183297,,Unknown,Public
