poid,department,name,degree_type,requirements
3539,Biology,"Biology, B.S. Cell and Molecular Biology track",B.S.,"To fulfill CMB track requirements, students must complete 10 or more biology courses, each of which must be at least three credits. They must also complete three chemistry courses for a total of 13 credit-bearing science courses:
  BIO-111 Foundations of Biology
  BIO-222 Research and Analysis
  BIO-300 Cell Biology
  One capstone course: BIO-508 Supervised Research or BIO-510 Thesis
  BIO-075 Seminar in Biology

At least one course from each of the following four groups:

Genetics
  BIO-210 Genetics
  BIO-211 Molecular Genetics
  BIO-212 Human Genetics
  BIO-213 Population Genetics and Evolution

Cell and Molecular Biology
  BIO-301 Microbiology
  BIO-303 Biochemistry of the Cell
  BIO-425 Developmental Biology
  BIO-445 Genomics and Bioinformatics
  BIO-450 Microanatomy
  BIO-455 Neurochemistry
  BIO-460 Neurobiology
  BIO-470 Immunology

Anatomy and Physiology
  BIO-320 Animal Physiology
  BIO-321 Plant Physiology
  BIO-322 Human Physiology
  BIO-420 Comparative Anatomy and Embryology
  BIO-426 Human Anatomical Systems
  BIO-444 Pharmacology and Toxicology
  BIO-475 Nutrition

Ecology and Environmental Biology
  BIO-340 Ecology
  BIO-343 Environmental Systems
  BIO-344 African Biodiversity and Conservation
  BIO-345 Field Ecology
  BIO-346 Forest Ecology
  BIO-430 Conservation Biology
  BIO-431 Landscape Ecology and Conservation
  BIO-434 Ecology and Management of Great Smoky Mountains
  BIO-435 Agroecology

Additional requirements
  CHM-110 Foundations of Chemistry or CHM-111 General Chemistry - Exam Equivalency
  CHM-115 Kinetics, Thermodynamics and the Environment
  CHM-120 Organic Chemistry I

Further Considerations
Substitutions
CMB students whose career preparations require successful completion of science and mathematics courses outside of biology may substitute one course from those areas for certain biology courses with the approval of the department chair.  Moreover, two 2-credit biology courses numbered 200 or greater completed during the May Experience can be combined to fulfill one of the elective course requirements for either the B.A. or B.S. degree."
3540,Biology,"Biology, B.S. Environmental and Conservation Biology track",B.S.,"To fulfill ECB track requirements, students must complete 10 or more biology courses, each of which must be at least three credits. They must also complete at least one chemistry course for a total of 13 credit-bearing science courses:
  BIO-111 Foundations of Biology
  BIO-222 Research and Analysis
  One capstone course: BIO-503 Individualized Internship or BIO-508 Supervised Research or BIO-510 Thesis
  BIO-075 Seminar in Biology
  BIO-340 Ecology or BIO-345 Field Ecology
  BIO-430 Conservation Biology or BIO-431 Landscape Ecology and Conservation

At least one course from each of the following four groups:

Diversity of Life
  BIO-230 Nature of Diversity
  BIO-400 Field Botany
  BIO-421 Invertebrate Zoology
  BIO-422 Field Zoology
  BIO-423 Marine Biology

Genetics
  BIO-210 Genetics
  BIO-211 Molecular Genetics
  BIO-212 Human Genetics
  BIO-213 Population Genetics and Evolution

Cell and Molecular Biology
  BIO-300 Cell Biology
  BIO-301 Microbiology
  BIO-303 Biochemistry of the Cell
  BIO-425 Developmental Biology
  BIO-445 Genomics and Bioinformatics
  BIO-450 Microanatomy
  BIO-455 Neurochemistry
  BIO-460 Neurobiology
  BIO-470 Immunology

Anatomy and Physiology
  BIO-320 Animal Physiology
  BIO-321 Plant Physiology
  BIO-322 Human Physiology
  BIO-420 Comparative Anatomy and Embryology
  BIO-426 Human Anatomical Systems
  BIO-444 Pharmacology and Toxicology
  BIO-475 Nutrition

Additional requirements
  CHM-110 Foundations of Chemistry or CHM-111 General Chemistry - Exam Equivalency

Further Considerations
Substitutions
ECB students whose career preparations require successful completion of science and mathematics courses outside of biology may substitute up to two courses from those areas for certain biology courses with the approval of the department chair.  Moreover, two 2-credit biology courses numbered 200 or greater completed during the May Experience can be combined to fulfill one of the elective course requirements for either the B.A. or B.S. degree. As well, two 2-credit biology courses numbered 200 or greater completed during the May Experience and with diversity foci, as approved by the departmental chair, can be used to fulfill the Diversity of Life requirement of the ECB track."
3541,Biology,"Biology, B.S. Integrative Biology track",B.S.,"To fulfill IB track requirements, students must complete 10 or more biology courses, each of which must be at least three credits. They must also complete at least two chemistry courses for a total of 13 credit-bearing science courses:
  BIO-111 Foundations of Biology
  BIO-222 Research and Analysis
  One capstone course: BIO-503 Individualized Internship or BIO-508 Supervised Research or BIO-510 Thesis
  BIO-075 Seminar in Biology

At least one course from each of the following four groups:

Genetics
  BIO-210 Genetics
  BIO-211 Molecular Genetics
  BIO-212 Human Genetics
  BIO-213 Population Genetics and Evolution

Cell and Molecular Biology
  BIO-300 Cell Biology
  BIO-301 Microbiology
  BIO-303 Biochemistry of the Cell
  BIO-425 Developmental Biology
  BIO-445 Genomics and Bioinformatics
  BIO-450 Microanatomy
  BIO-455 Neurochemistry
  BIO-470 Immunology

Anatomy and Physiology
  BIO-320 Animal Physiology
  BIO-321 Plant Physiology
  BIO-322 Human Physiology
  BIO-420 Comparative Anatomy and Embryology
  BIO-426 Human Anatomical Systems
  BIO-444 Pharmacology and Toxicology
  BIO-475 Nutrition

Ecology and Environmental Biology
  BIO-340 Ecology
  BIO-343 Environmental Systems
  BIO-344 African Biodiversity and Conservation
  BIO-345 Field Ecology
  BIO-346 Forest Ecology
  BIO-430 Conservation Biology
  BIO-431 Landscape Ecology and Conservation
  BIO-434 Ecology and Management of Great Smoky Mountains
  BIO-435 Agroecology

Additional requirements
  CHM-110 Foundations of Chemistry or CHM-111 General Chemistry - Exam Equivalency
  CHM-115 Kinetics, Thermodynamics and the Environment

Further Considerations
Substitutions
IB students whose career preparations require successful completion of science and mathematics courses outside of biology may substitute up to two courses from those areas for certain biology courses with the approval of the department chair.  Moreover, two 2-credit biology courses numbered 200 or greater completed during the May Experience can be combined to fulfill one of the elective course requirements for either the B.A. or B.S. degree."
3472,Business and Accounting,"Accounting, B.A.",B.A.,"A major must include:
  ACC-111 Principles of Financial Accounting or ACC-120 Principles of Financial and Managerial Accounting
  ACC-311 Principles of Financial Accounting II
  ACC-312 Intermediate Accounting I
  ACC-313 Intermediate Accounting II
  ACC-320 Cost Accounting
  ACC-330 Auditing
  ACC-340 Federal Income Taxation
  ACC-350 Accounting Information Systems
  BUS-230 Business Analytics
  BUS-340 Principles of Corporate Finance
  ECN-111 Introduction to Economics
  MTH-120 Introduction to Statistics

Certified Public Accountant requirements
Many but not all states require Certified Public Accountant (CPA) candidates to complete 150 credits of undergraduate or graduate course work, including specific hours in business and accounting. Students interested in becoming a CPA should research the requirements for the state they are interested in and consult a faculty member in accounting to design a program of study based on what they learned."
3553,Business and Accounting,"Business Administration, B.A.",B.A.,"Business Administration, Business Administration Track, B.A.
To fulfill the business administration track requirements, students must complete 7 required courses and 6 business administration track elective courses.

Required Core Courses and Capstone (7 courses):
  ACC-120 Principles of Financial and Managerial Accounting (or ACC-111 Principles of Financial Accounting and ACC-301 Principles of Managerial Accounting )
  ECN-111 Introduction to Economics
  MTH-120 Introduction to Statistics
  BUS-230 Business Analytics
  BUS-320 Marketing Strategy
  BUS-340 Principles of Corporate Finance
  BUS-450 Strategic Management

Business Administration Track Electives (6, 4-credit courses):

Primary Track Electives
Students must take at least 4, 4-credit courses from the following list to count as business administration track electives. Students may take all 6 of the business administration track electives from this list:
  BUS-150 Perspectives on Business
  BUS-503 Individualized Internship (junior or senior standing, business-related, 4 credits) BUS 503 will be evaluated for elective credit as part of the BUS 503 application and approval process. BUS 503 courses begun prior to September 1, 2023, may not be used to meet an elective requirement.

Secondary Track Electives
Students may take up to 2, 4-credit courses from the following list to count as business administration track electives:
  CLS-311 Business and Entrepreneurship in Greece and Rome
  CSC-272 Introduction to Data Mining
  ECN-241 Money and Banking
  ECN-248 Economics of Market Regulation
  ECN-250 Labor Economics
  ECN-252 International Trade
  ECN-253 International Finance and Macroeconomic Policy
  ECN-331 Empirical Methods in Economics
  HST-312 History of Business
  MTH-245 Statistical Methods I with R

Business Administration, Business Entrepreneurship Track, B.A.
To fulfill the business entrepreneurship track requirements, students must complete 9 required courses and 4 business entrepreneurship track elective courses.

Required Core Courses and Capstone (7 courses):
  ACC-120 Principles of Financial and Managerial Accounting (or ACC-111 Principles of Financial Accounting and ACC-301 Principles of Managerial Accounting )
  ECN-111 Introduction to Economics
  MTH-120 Introduction to Statistics
  BUS-230 Business Analytics
  BUS-320 Marketing Strategy
  BUS-340 Principles of Corporate Finance
  BUS-450 Strategic Management

Required Business Entrepreneurship Track Courses (2 courses):
  BUS-270 Introduction to Innovation and Entrepreneurship
  BUS-470 New Venture Business Modeling

Business Entrepreneurship Track Electives (4, 4-credit courses):

Primary Track Electives
Students must take at least 2 courses from the following list to count as business entrepreneurship track electives. Students may take all 4 of the business entrepreneurship track elective courses from this list:
  ACC-340 Federal Income Taxation
  BUS-350 Business Law
  BUS-360 Performance Management
  BUS-370 Social Entrepreneurship and Social Innovation
  BUS-423 Consumer Behavior
  BUS-424 Business, Branding and Behavior
  BUS-503 Individualized Internship (junior or senior standing, entrepreneurship-related, 4 credits) BUS 503 will be evaluated for elective credit as part of the BUS 503 application and approval process. BUS 503 courses begun prior to September 1, 2023, may not be used to meet an elective requirement.

Secondary Track Electives
Students may take up to 2, 4-credit courses from the following list to count as business entrepreneurship track electives:
  BUS-150 Perspectives on Business
  HST-312 History of Business

Business Administration, Business Finance Track, B.A.
To fulfill the business finance track requirements, students must complete 9 required courses and 4 business finance track elective courses.

Required Core Courses and Capstone (7 courses):
  ACC-120 Principles of Financial and Managerial Accounting (or ACC-111 Principles of Financial Accounting and ACC-301 Principles of Managerial Accounting )
  ECN-111 Introduction to Economics
  MTH-120 Introduction to Statistics
  BUS-230 Business Analytics
  BUS-320 Marketing Strategy
  BUS-340 Principles of Corporate Finance
  BUS-450 Strategic Management

Required Business Finance Track Courses (2 courses):
  BUS-440 Investments Management
  BUS-444 Advanced Corporate Finance

Business Finance Track Electives (4, 4-credit courses):

Primary Track Electives
Students must take at least 2 courses from the following list to count as business finance track electives. Students may take all 4 of the business finance track elective courses from this list:
  ACC-311 Principles of Financial Accounting II
  ACC-312 Intermediate Accounting I
  ACC-313 Intermediate Accounting II
  ACC-340 Federal Income Taxation
  BUS-337 Intermediate Business Analytics
  BUS-441 International Finance
  BUS-442 Financial Institutions and Markets
  BUS-443 Risk Management
  BUS-503 Individualized Internship (junior or senior standing, finance-related, 4 credits) BUS 503 will be evaluated for elective credit as part of the BUS 503 application and approval process. BUS 503 courses begun prior to September 1, 2023, may not be used to meet an elective requirement.
  ECN-241 Money and Banking
  ECN-253 International Finance and Macroeconomic Policy

Secondary Track Electives
Students may take up to 2, 4-credit courses from the following list to count as business finance track electives:
  BUS-150 Perspectives on Business

Business Administration, Business Marketing Track, B.A.
To fulfill the business marketing track requirements, students must complete 7 required courses and 6 business marketing track elective courses.

Required Core Courses and Capstone (7 courses):
  ACC-120 Principles of Financial and Managerial Accounting (or ACC-111 Principles of Financial Accounting and ACC-301 Principles of Managerial Accounting )
  ECN-111 Introduction to Economics
  MTH-120 Introduction to Statistics
  BUS-230 Business Analytics
  BUS-320 Marketing Strategy
  BUS-340 Principles of Corporate Finance
  BUS-450 Strategic Management

Business Marketing Track Electives (6, 4-credit courses):

Primary Track Electives
Students must take at least 4 courses from the following list to count as business marketing track electives. Students may take 5 of the business marketing track elective courses from this list:
  BUS-421 International Marketing
  BUS-422 Integrated Marketing Communications
  BUS-423 Consumer Behavior
  BUS-424 Business, Branding and Behavior
  BUS-503 Individualized Internship Internship (junior or senior standing, marketing-related, 4 credits) BUS 503 will be evaluated for elective credit as part of the BUS 503 application and approval process. BUS 503 courses begun prior to September 1, 2023, may not be used to meet an elective requirement.

Secondary Track Electives
Students may take up to 2, 4-credit courses from the following list to count as business marketing track electives:
  BUS-150 Perspectives on Business
  COM-314 Social Media Strategy
  COM-376 Strategic Communication
  HST-312 History of Business

Business Administration, International Business Track, B.A.
To fulfill the international business track requirements, students must complete 8 required courses and 20 credits of 5 international business track elective courses. Students must also complete an international business engagement requirement.

Required Core Courses and Capstone (7 courses):
  ACC-120 Principles of Financial and Managerial Accounting (or ACC-111 Principles of Financial Accounting and ACC-301 Principles of Managerial Accounting )
  ECN-111 Introduction to Economics
  MTH-120 Introduction to Statistics
  BUS-230 Business Analytics
  BUS-320 Marketing Strategy
  BUS-340 Principles of Corporate Finance
  BUS-450 Strategic Management

Required International Business Track course (1 course):
  BUS-311 International Business

International Business Track Electives (20 credits):

Primary Track Electives
Students must take a minimum of 8 credits from the following list to count as international business track electives. Students may take all 20 credits for international business track electives from this list:
  BUS-200 Business Drives the Economy
  BUS-300 International Business Practices
  BUS-421 International Marketing
  BUS-441 International Finance
  BUS-442 Financial Institutions and Markets
  BUS-503 Individualized Internship (junior or senior standing, international business-related, 4 credits) BUS 503 will be evaluated for elective credit as part of the BUS 503 application and approval process. BUS 503 courses begun prior to September 1, 2023, may not be used to meet an elective requirement.

Secondary Track Electives
Students may take up to 12 credits from the following list to count as international business track electives. No more than 8 credits may be from one department other than from the BAC Department:
  BUS-150 Perspectives on Business
  ECN-252 International Trade
  ECN-253 International Finance and Macroeconomic Policy
  HST-312 History of Business
  PHL-304 Ethics of Globalization
  POL-221 Politics of European Union
  POL-222 Politics of Russia
  POL-223 Politics of Developing Nations
  POL-224 Politics of Africa
  POL-225 Politics of the Middle East
  POL-226 Politics of China
  POL-228 Politics of Europe
  POL-229 Politics of Asia
  POL-230 Politics of Latin America
  POL-252 American Foreign Policy
  POL-256 Politics of the Global Economy

Required International Business Engagement (0 to 4 credits)
International Business track majors must have at least one experience in learning about and engaging with another culture and business environment. Students seeking the international business engagement credit for an activity should first meet with their international business track major advisor to discuss their plans. Advanced approval by the International Track Coordinator is required for using an activity to meet the international business engagement credit requirement.
Options for meeting the required international business engagement include:
a semester Study Away program outside of the US a Business department MayX outside of the US a Business department MayX with an international component an internship located outside of the US that meets the requirements for BUS 503 (0-4 credits) an internship with an international business in the US that meets the requirements for BUS 503 (0-4 credits). The internship must have an international focus
Students planning to use an internship to satisfy the international business engagement requirement must enroll in BUS 503 Individualized Internship (0-4 credits). The internship will be evaluated for meeting the international business engagement requirement as part of the BUS 503 application and approval process.
We encourage you to speak with your advisors, the Rinker Center for Study Away and International Education, and the Internship Office to learn more about internship and study away possibilities.
A course used to satisfy the International Business Engagement requirement may also be used to satisfy the International Business Track Elective requirements."
3475,Chemistry,"Chemistry, Biochemistry Track, B.S.",B.S.,"To fulfill major requirements in this track, students must complete:

Foundational general chemistry courses via:
  CHM-110 Foundations of Chemistry AND CHM-115 Kinetics, Thermodynamics and the Environment
  CHM-111 General Chemistry - Exam Equivalency AND CHM-115 Kinetics, Thermodynamics and the Environment
  CHM-118 Principles of Chemistry: Theory and Applications

Plus the following courses:
  BIO-210 Genetics or BIO 211 or BIO 212
  CHM-075 Seminar in Chemistry
  CHM-120 Organic Chemistry I
  CHM-220 Organic Chemistry II
  CHM-230 Inorganic Chemistry
  CHM-240 Experimental Techniques
  CHM-330 Analytical Chemistry
  CHM-460 Biological Chemistry
  CHM-465 Advanced Biological Chemistry
  CHM-502 Undergraduate Research
  CHM-510 Undergraduate Thesis I
  CHM-511 Undergraduate Thesis II
  MTH-150 Analytic Geometry and Calculus I
  MTH-151 Analytic Geometry and Calculus II
  PHY-111 General Physics I
  PHY-112 General Physics II

Further, students must complete at least one course from the following:
  CHM-410 Quantum Chemistry
  CHM-450 Advanced Materials Chemistry
  CHM-420 Advanced Topics in Organic Chemistry
  CHM-430 Advanced Topics in Inorganic Chemistry
  CHM-440 Environmental Chemistry
  CHM-445 Advanced Topics in Physical Chemistry
  CHM-470 Special Topics in Biochemistry"
3474,Chemistry,"Chemistry, Environmental Chemistry Track, B.S.",B.S.,"To fulfill major requirements in this track, students must complete:

Foundational general chemistry courses via:
  CHM-110 Foundations of Chemistry AND CHM-115 Kinetics, Thermodynamics and the Environment
  CHM-111 General Chemistry - Exam Equivalency AND CHM-115 Kinetics, Thermodynamics and the Environment
  CHM-118 Principles of Chemistry: Theory and Applications

Plus the following courses:
  CHM-075 Seminar in Chemistry
  CHM-120 Organic Chemistry I
  CHM-220 Organic Chemistry II
  CHM-230 Inorganic Chemistry
  CHM-240 Experimental Techniques
  CHM-310 Physical Chemistry I
  CHM-330 Analytical Chemistry
  CHM-340 Physical Chemistry II
  CHM-440 Environmental Chemistry
  CHM-445 Advanced Topics in Physical Chemistry
  CHM-502 Undergraduate Research
  CHM-510 Undergraduate Thesis I
  CHM-511 Undergraduate Thesis II
  MTH-150 Analytic Geometry and Calculus I
  MTH-151 Analytic Geometry and Calculus II
  PHY-111 General Physics I
  PHY-112 General Physics II and"
3473,Chemistry,"Chemistry, Standard Track, B.S.",B.S.,"To fulfill major requirements in this track, students must complete:

Foundational general chemistry courses via:
  CHM-110 Foundations of Chemistry AND CHM-115 Kinetics, Thermodynamics and the Environment
  CHM-111 General Chemistry - Exam Equivalency AND CHM-115 Kinetics, Thermodynamics and the Environment
  CHM-118 Principles of Chemistry: Theory and Applications

Plus the following courses:
  CHM-075 Seminar in Chemistry
  CHM-120 Organic Chemistry I
  CHM-220 Organic Chemistry II
  CHM-230 Inorganic Chemistry
  CHM-240 Experimental Techniques
  CHM-310 Physical Chemistry I
  CHM-330 Analytical Chemistry
  CHM-340 Physical Chemistry II
  CHM-502 Undergraduate Research
  CHM-510 Undergraduate Thesis I
  CHM-511 Undergraduate Thesis II
  MTH-150 Analytic Geometry and Calculus I
  MTH-151 Analytic Geometry and Calculus II
  PHY-111 General Physics I
  PHY-112 General Physics II

Further, students must complete at least two courses from the following:
  CHM-410 Quantum Chemistry
  CHM-420 Advanced Topics in Organic Chemistry
  CHM-430 Advanced Topics in Inorganic Chemistry
  CHM-440 Environmental Chemistry
  CHM-445 Advanced Topics in Physical Chemistry
  CHM-450 Advanced Materials Chemistry
  CHM-460 Biological Chemistry
  CHM-470 Special Topics in Biochemistry"
3476,Classics,"Classics, Historical Language and Literature Track, B.A.",B.A.,"Three courses beyond 201 in Greek or Latin:
  GRK-305 Ancient Greek: Analytical Approaches
  GRK-315 Ancient Greek: Translation & Research
  GRK-325 Ancient Greek: Intensive Readings

Two courses in the other ancient language:
  GRK-110 Elementary Greek
  GRK-120 Elementary Greek II
  LTN-110 Elementary Latin
  LTN-120 Elementary Latin II

Three courses in Classics (CLS)
Note:  Students may, with permission, substitute a further language course for one of the three CLS courses.
  CLS-101 Homer for Everyone
  CLS-102 Classics: The Basics
  CLS-103 Mythology
  CLS-104 Sport and Violence in the Ancient World
  CLS-105 The Ancient World in 50 Archaeological Objects
  CLS-212 Geography and Travel in the Ancient Mediterranean Catalog
  CLS-213 Inventing the Book
  CLS-214 Law and Order: Greece & Rome
  CLS-215 Science and Innovation in Antiquity
  CLS-216 Historical Linguistics & PIE
  CLS-220 Greek Civilization
  CLS-221 Roman Civilization
  CLS-222 Title The Invention of Archaeology
  CLS-232 Guide to the Good Life
  CLS-233 The Art of Poetry
  CLS-311 Business and Entrepreneurship in Greece and Rome
  CLS-320 Travel Study in Classical Civilizations
  CLS-321 Polytheism and Its Problems
  CLS-322 The Power in Democracy
  CLS-323 What is “Western Civilization”?
  CLS-331 Constructing Identities

One capstone course:
  CLS-401 Seminar in Classics"
3543,Classics,"Classics, Information, Tradition, and Text Track, B.A.",B.A.,"One course beyond 201 in Greek or Latin:
  GRK-305 Ancient Greek: Analytical Approaches
  LTN-305 Latin: Analytical Approaches
  GRK-315 Ancient Greek: Translation & Research
  LTN-315 Latin: Translation & Research Methods
  GRK-325 Ancient Greek: Intensive Readings
  LTN-325 Latin: Intensive Readings

Seven courses in Classics (CLS) or further courses in the ancient languages
Note:  Students may, with permission, substitute relevant courses from related fields for CLS courses.
  CLS-101 Homer for Everyone
  CLS-102 Classics: The Basics
  CLS-103 Mythology
  CLS-104 Sport and Violence in the Ancient World
  CLS-105 The Ancient World in 50 Archaeological Objects
  CLS-212 Geography and Travel in the Ancient Mediterranean Catalog
  CLS-213 Inventing the Book
  CLS-214 Law and Order: Greece & Rome
  CLS-215 Science and Innovation in Antiquity
  CLS-216 Historical Linguistics & PIE
  CLS-220 Greek Civilization
  CLS-221 Roman Civilization
  CLS-222 Title The Invention of Archaeology
  CLS-232 Guide to the Good Life
  CLS-233 The Art of Poetry
  CLS-311 Business and Entrepreneurship in Greece and Rome
  CLS-320 Travel Study in Classical Civilizations
  CLS-321 Polytheism and Its Problems
  CLS-322 The Power in Democracy
  CLS-323 What is “Western Civilization”?
  CLS-331 Constructing Identities

One capstone course:
  CLS-401 Seminar in Classics"
3542,Communication Studies,"Communication and Media Studies, B.A.",B.A.,"Foundational courses (4 courses)
  COM-101 Public Speaking
  COM-102 Media and Society
  COM-201 Rhetoric and Strategy
  COM-202 Digital Storytelling

One research methods course (1 course), selected from:
  COM-302 Media Criticism
  COM-303 Communication Research Methods

One advanced course in media history (1 course), selected from:
  COM-331 Media History
  COM-361 Media Law

One advanced course in media production (1 course), selected from:
  COM-304 Broadcast Communication
  COM-345 Sports Reporting
  COM-347 Advanced Multimedia Storytelling

One additional advanced course in communication and media studies (1 course), selected from:
  COM-302 Media Criticism
  COM-303 Communication Research Methods
  COM-304 Broadcast Communication
  COM-314 Social Media Strategy
  COM-323 Race, Class and Gender in Media
  COM-331 Media History
  COM-335 Political Economy of Mass Media
  COM-337 International Communication
  COM-345 Sports Reporting
  COM-347 Advanced Multimedia Storytelling
  COM-350 Lenses on Africa
  COM-351 Advocacy
  COM-353 Political Communication
  COM-355 Propaganda
  COM-361 Media Law
  COM-399 Studies in Mass Media

One Engaged Learning Experience in Communication Studies (a minimum of 4 credits), selected from:
  COM-505 Structured Internship
  IDS-507 International Internship
  HUM-502 Humanities Lab
  IGD-101 Introduction to Intergroup Dialogue

One Capstone Experience in Communication Studies (1 course), selected from:
  COM-412 International Women’s Rhetoric
  COM-414 Global Advocacy
  COM-419 Mobile Media, Space and Place
  COM-451 Civic Media
  COM-457 Mass Media & Political Violence
  COM-460 Communication Ethics
  COM-470 Seminar in Rhetoric
  COM-475 Seminar in Mass Communication"
3605,Communication Studies,"Communication Studies, B.A.",B.A.,"Foundational courses (4 courses)
  COM-101 Public Speaking
  COM-102 Media and Society
  COM-201 Rhetoric and Strategy
  COM-202 Digital Storytelling

One research methods course (1 course) selected from:
  COM-301 Rhetorical Criticism
  COM-302 Media Criticism
  COM-303 Communication Research Methods

Three additional advanced communication studies courses (3 courses), selected from:
  COM-301 Rhetorical Criticism
  COM-302 Media Criticism
  COM-303 Communication Research Methods
  COM-304 Broadcast Communication
  COM-310 Argumentation
  COM-311 Rhetoric in the Ancient World
  COM-314 Social Media Strategy
  COM-315 Oratory and Social Change
  COM-318 African American Rhetoric
  COM-323 Race, Class and Gender in Media
  COM-331 Media History
  COM-333 Small Group Communication
  COM-335 Political Economy of Mass Media
  COM-337 International Communication
  COM-341 Interpersonal Communication
  COM-343 Organizational Communication
  COM-345 Sports Reporting
  COM-347 Advanced Multimedia Storytelling
  COM-350 Lenses on Africa
  COM-351 Advocacy
  COM-353 Political Communication
  COM-355 Propaganda
  COM-361 Media Law
  COM-376 Strategic Communication
  COM-377 Persuasive Message Design
  COM-398 Studies in Rhetoric
  COM-399 Studies in Mass Media

One Engaged Learning Experience in Communication Studies (a minimum of 4 credits), selected from:
  COM-505 Structured Internship
  IDS-507 International Internship
  HUM-502 Humanities Lab
  IGD-101 Introduction to Intergroup Dialogue

One Capstone Experience in Communication Studies (1 course), selected from:
  COM-412 International Women’s Rhetoric
  COM-414 Global Advocacy
  COM-419 Mobile Media, Space and Place
  COM-451 Civic Media
  COM-457 Mass Media & Political Violence
  COM-460 Communication Ethics
  COM-470 Seminar in Rhetoric
  COM-475 Seminar in Mass Communication"
3477,Communication Studies,"Strategic Communication and Advocacy, B.A.",B.A.,"Foundational courses (4 courses)
  COM-101 Public Speaking
  COM-102 Media and Society
  COM-201 Rhetoric and Strategy
  COM-202 Digital Storytelling

One research methods course (1 course), selected from:
  COM-301 Rhetorical Criticism
  COM-303 Communication Research Methods

One advanced course in rhetoric and advocacy (1 course), selected from:
  COM-310 Argumentation
  COM-315 Oratory and Social Change
  COM-351 Advocacy

One advanced course in strategic communication (1 course), selected from:
  COM-314 Social Media Strategy
  COM-376 Strategic Communication
  COM-377 Persuasive Message Design

One additional advanced course in strategic communication and advocacy (1 course), selected from:
  COM-301 Rhetorical Criticism
  COM-303 Communication Research Methods
  COM-310 Argumentation
  COM-311 Rhetoric in the Ancient World
  COM-314 Social Media Strategy
  COM-315 Oratory and Social Change
  COM-318 African American Rhetoric
  COM-333 Small Group Communication
  COM-337 International Communication
  COM-341 Interpersonal Communication
  COM-343 Organizational Communication
  COM-347 Advanced Multimedia Storytelling
  COM-351 Advocacy
  COM-353 Political Communication
  COM-355 Propaganda
  COM-376 Strategic Communication
  COM-377 Persuasive Message Design
  COM-398 Studies in Rhetoric

One Engaged Learning Experience in Communication Studies (a minimum of 4 credits), selected from:
  COM-505 Structured Internship
  IDS-507 International Internship
  HUM-502 Humanities Lab
  IGD-101 Introduction to Intergroup Dialogue

One Capstone Experience in Communication Studies (1 course), selected from:
  COM-412 International Women’s Rhetoric
  COM-414 Global Advocacy
  COM-419 Mobile Media, Space and Place
  COM-451 Civic Media
  COM-457 Mass Media & Political Violence
  COM-460 Communication Ethics
  COM-470 Seminar in Rhetoric
  COM-475 Seminar in Mass Communication"
3544,Computer Science,"Computer Science, B.A.",B.A.,"Required core courses:
  CSC-105 Intro to Computer Science
  CSC-121 Intro to Computer Programming
  CSC-122 Data Structures and Algorithms
  CSC-223 Advanced Data Structures and Software Development
  CSC-231 Computer Organization
  CSC-261 Discrete Structures for Computer Science
  CSC-461 Computational Theory
  MTH-120 Introduction to Statistics or MTH-150 Analytic Geometry and Calculus I

Three additional CSC courses numbered 300 or above, with at least two selected from Group B for the Bachelor of Arts option:

Group A
  CSC-331 Computer Architecture
  CSC-332 Data Communications and Networking
  CSC-343 Artificial Intelligence
  CSC-344 Computer Graphics and Image Processing
  CSC-345 Computational Science
  CSC-346 Operating Systems
  CSC-348 Game Design & Development
  CSC-353 Software Engineering
  CSC-361 Information Structures
  CSC-363 Programming Language Structures
  CSC-364 Compilers
  CSC-372 Machine Learning with Big Data
  CSC-465 Introduction to Numerical Analysis

Group B
  CSC-332 Data Communications and Networking
  CSC-341 Database Management Systems
  CSC-342 Web-Based Application Design & Development
  CSC-347 Human Computer Interaction
  CSC-351 Project Management
  CSC-352 Systems Analysis
  CSC-353 Software Engineering
  CSC-362 Information Security
  CSC-372 Machine Learning with Big Data

One additional course selected from the following options:
  CSC-271 Digital Dilemmas: Data, Technology, and Being Human
  CSC-272 Introduction to Data Mining
  CSC-273 History of Technology and Discovery
  MTH-120 Introduction to Statistics (BA students who elect to take MTH-120 as their required Mathematics course may not choose MTH-120 for their lower-level elective.)
  MTH-151 Analytic Geometry and Calculus II
  MTH-160 Vectors and Matrices

Capstone Experience (one course):
  CSC-475 Seminar in Computer Science
  CSC-502 Research

and six Purposeful Pathways activities:
Earn credit, as determined by the Chair, for six Purposeful Pathways activities, with two from each from the following categories:
Participation in an Engaged Learning (Internship, Research) opportunity can be used to substitute for one of the required six events with prior approval from the Chair."
