id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12409276,FUGC Senior Night,Join us for a final grill night with our seniors,GPAV,2026-05-07T16:00:00+00:00,2026-05-08T00:00:00+00:00,Furman University Grill Club,338031,,Social,Public
12117006,Grill Club Meet,"Come out and grill, theme to be announced.",GPAV,2026-02-01T23:00:00+00:00,2026-02-02T01:00:00+00:00,Furman University Grill Club,338031,,Social,Public
11772680,FU Grill Club Taco Night,"Tortillas and toppings will be provided, just bring whatever meat you want to throw on the grill",GPAV,2025-10-12T22:00:00+00:00,2025-10-13T00:00:00+00:00,Furman University Grill Club,338031,,Social,Public
11529383,FUGC bi-monthly meet,Come on out with something to throw on the grill.,GPAV,2025-09-07T22:00:00+00:00,2025-09-08T00:00:00+00:00,Furman University Grill Club,338031,,Social,Public
