id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
12046936,FUGE Weekly Rehearsal,"The Gospel Ensemble rehearses every Thursday, at 7:30 pm.",DBM 003,2026-03-19T23:30:00+00:00,2026-03-20T01:30:00+00:00,Furman University Gospel Ensemble,183382,,Arts,Public
12046932,FUGE Weekly Rehearsal,"The Gospel Ensemble rehearses every Thursday, at 7:30 pm.",DBM 003,2026-02-20T00:30:00+00:00,2026-02-20T02:30:00+00:00,Furman University Gospel Ensemble,183382,,Arts,Public
9921772,Black History Month Gospel Concert,The Furman University Gospel Ensemble is presenting a celebration of gospel music and gospel music’s significance within the Black community.,Daniel Chapel,2024-02-16T00:00:00+00:00,2024-02-16T01:00:00+00:00,Furman University Gospel Ensemble,183382,,Spirituality,Public
