id,name,description,location,starts_on,ends_on,org_name,org_id,category_names,theme,visibility
9445625,CCM Weekly Fellowship,"Join us every Wednesday @ 7:00pm for food, scripture, presentations, and discussion!",Garden Room,2023-11-23T00:00:00+00:00,2023-11-23T01:30:00+00:00,Catholic Campus Ministry,183350,Religious,Social,Public
9445618,CCM Weekly Fellowship,"Join us every Wednesday @ 7:00pm for food, scripture, presentations, and discussion!",Garden Room,2023-09-27T23:00:00+00:00,2023-09-28T00:30:00+00:00,Catholic Campus Ministry,183350,Religious,Social,Public
9427226,CLP Catholic Mass,"The Roman Catholic Mass Celebration is a religious liturgy whose origins date back to the first century. The mass is celebrated in each country of the world every day amongst people of various cultures, backgrounds, languages, and traditions. Given this ancient liturgy’s ties to culture and history, it is a great learning opportunity for students to witness as it has been a pivotal ceremony for the world as a whole. The mass is divided into two sections: Liturgy of the Word and Liturgy of the Eucharist. Students attending the mass will hear various pieces of literature from the BC Jewish Era, writings from the Gospels detailing Jesus’s life, and readings from the early church fathers. After the conclusion of the mass, students will have the opportunity to ask questions.",Daniel Chapel Furman University,2023-09-25T01:00:00+00:00,2023-09-25T02:00:00+00:00,Catholic Campus Ministry,183350,,Spirituality,Public
7197646,CLP Mass,Join the Catholic Campus Ministries for a CLP mass to learn more about Catholicism and the celebration of the mass.,Daniel Chapel,2021-11-15T02:00:00+00:00,2021-11-15T03:00:00+00:00,Catholic Campus Ministry,183350,Religious,Spirituality,Public
7197645,Catholic Mass,Catholic Mass at 9PM Sunday evenings.,Daniel Chapel,2021-11-08T02:00:00+00:00,2021-11-08T03:00:00+00:00,Catholic Campus Ministry,183350,Religious,Spirituality,Public
1695973,"CCM Gathering ""Religion vs. Science""",This Wednesday night we will be discussing the relationship between religion and science. Is this relationship a battle or a friendship? Come out at 7:30pm for dinner. Our discussion will begin at 8pm. This is our last Wednesday night for discussion before our Advent party next week. Join CCM for a meaningful talk one last time this year!,Daniel Chapel Garden Room,2012-11-29T00:30:00+00:00,2012-11-29T02:00:00+00:00,Catholic Campus Ministry,183350,,Unknown,Public
1701961,Mass,,Chapel,2012-04-15T22:30:00+00:00,2012-04-15T23:30:00+00:00,Catholic Campus Ministry,183350,,Unknown,Public
1695247,CCM Meeting,"This week we will be discussing ""The Way, the Truth, and the Life"", the topic from our retreat this past weekend. The discussion will be an opportunity for those who did not attend the retreat to get a sense of what we talked about while those who did attend can reflect more on the topic. Join us for dinner at 7:30 followed by discussion at 8:00.",Chapel Garden Room,2012-03-21T23:30:00+00:00,2012-03-22T01:00:00+00:00,Catholic Campus Ministry,183350,,Unknown,Public
